DATE,INDEX,Turnover
22/12/2024,2390.08,0
19/12/2024,2364.37,1825350.77
18/12/2024,2383.74,1131225.16
17/12/2024,2367.99,1542692.27
16/12/2024,2344.42,1029406.88
15/12/2024,2316.96,473662.08
12/12/2024,2335.46,968400.58
11/12/2024,2336.33,919764.07
10/12/2024,2352.48,999039.75
09/12/2024,2362.28,1370150.75
08/12/2024,2343.9,499803.21
05/12/2024,2321.78,1120772.66
04/12/2024,2322.66,1209988.53
03/12/2024,2315.52,1199607.63
02/12/2024,2292.7,967688.58
01/12/2024,2294.71,527993.55
28/11/2024,2260.49,3740506.66
27/11/2024,2276.81,1363961
26/11/2024,2303.39,1833722.37
25/11/2024,2281.21,2209112.14
24/11/2024,2283.22,437804.2
21/11/2024,2260.15,1322797.38
20/11/2024,2252.81,1288280.22
19/11/2024,2259.59,1482377.51
18/11/2024,2252.1,1310871.78
17/11/2024,2268.54,537036.97
14/11/2024,2267.59,1595711.2
13/11/2024,2303.11,1294653.1
12/11/2024,2297.86,1438465.62
11/11/2024,2276.03,1516153.89
10/11/2024,2288.06,735864.53
07/11/2024,2229.99,2793244.73
06/11/2024,2223.75,1474276.65
05/11/2024,2218.62,1164595.79
04/11/2024,2207.83,898966.41
03/11/2024,2204.33,483199.4
31/10/2024,2203.97,1409730.56
30/10/2024,2218.9,1598633.55
29/10/2024,2189.86,1111152.66
28/10/2024,2174.24,886141.58
27/10/2024,2170.55,645966.4
22/10/2024,2155.4,1162413.02
21/10/2024,2177.09,1018824.09
20/10/2024,2180.67,1033246.81
15/10/2024,2137.71,692830.75
14/10/2024,2126.75,612188.36
13/10/2024,2110.39,273960.67
10/10/2024,2093.55,778418.25
09/10/2024,2113.46,751037.01
08/10/2024,2098.39,731668.85
07/10/2024,2093.07,950099.56
06/10/2024,2088.68,445374.55
01/10/2024,2093.48,1203630.03
30/09/2024,2123.64,1344402.32
29/09/2024,2117.18,797494.15
26/09/2024,2095.76,3148338.49
25/09/2024,2067.88,808559.95
24/09/2024,2048.79,1066749.02
23/09/2024,2029.18,862996.99
22/09/2024,2013.52,372515.56
19/09/2024,1997.92,1663605.39
18/09/2024,2002.35,746460.57
17/09/2024,1998.14,1609060.18
16/09/2024,2019.21,948503.46
15/09/2024,2047.86,252136.61
12/09/2024,2054.46,723985.09
11/09/2024,2033,688915.43
10/09/2024,2030.61,637325.78
09/09/2024,2035.21,1219704.47
08/09/2024,2039.69,303368.01
05/09/2024,2071.92,1108908.63
04/09/2024,2047.63,741213.39
03/09/2024,2061.52,749791.69
02/09/2024,2091.77,718305.26
01/09/2024,2074.74,369189.13
29/08/2024,2093.08,2208350.52
28/08/2024,2090.31,661129.82
27/08/2024,2077.81,863587.96
26/08/2024,2078.17,1021978.66
25/08/2024,2091.61,838848.63
22/08/2024,2051.21,906101.14
21/08/2024,2045.64,1040742.55
20/08/2024,2060.25,856577.4
19/08/2024,2056.79,845263.83
18/08/2024,2065.73,376879.68
15/08/2024,2055.12,1074084.53
14/08/2024,2022.2,1275305.23
12/08/2024,1986.66,1061726.14
11/08/2024,2012.3,458222.7
